,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
9,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 10,Pisos: Entre 2 al 16,1,55.66 m2,"S/ 464,250"
3908,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2261-vista-marina-356-chorrillos-lima-lima-tale-inmobiliaria,VISTA MARINA 356,-12.1591315,-77.024261,Malecón Costa Sur 356,Chorrillos,Entrega inmediata,"31 de Julio, 2024",Banco Scotiabank,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Terraza']",flat,X05,Piso: 2,3,129.97 m2,"$ 346,000"
5827,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2037-pueblo-libre-pueblo-libre-lima-lima-ee-inmobiliaria,Pueblo Libre,-12.0837528,-77.0658852,Av. La Marina 449,Pueblo Libre,Entrega inmediata,"29 de Febrero, 2024",Banco BANBIF,['Lobby'],flat,701,Piso: 7,3,80.97 m2,"S/ 496,000"
4880,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3067-cosmos-miraflores-lima-lima-llosa-edificaciones-urban,COSMOS,-12.118554202086711,-77.03987712638173,óvalo julio ramon ribeyro,Miraflores,En planos,"30 de Julio, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,15,Pisos: Entre 11 al 21,2,104.03 m2,"$ 322,389"
2194,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3325-edificio-sialia-jesus-maria-lima-lima-grupo-cygnus,Edificio Sialia,-12.0736972,-77.0466613,"Av. 6 de Agosto 1184, Jesús María",Jesus Maria,En planos,"31 de Mayo, 2027",Banco BCP,"['Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 3,Pisos: Entre 2 al 16,2,48.95 m2,"S/ 335,993"
6297,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2841-botanika-jesus-maria-lima-lima-san-charbel-edificaciones,Botanika,-12.0810085676838,-77.05712058350858,Av. Garzón 2160,Jesus Maria,En construcción,"30 de Noviembre, 2025",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 3,Piso: 3,1,29.40 m2,"S/ 230,000"
5773,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3337-vanderghen-400-miraflores-lima-lima-aurora-grupo-inmobiliario,Vanderghen 400,-12.109729,-77.0406876,Av. Jorge Vanderghen 406,Miraflores,En planos,"01 de Junio, 2026",Banco Scotiabank,['Lobby'],duplex,PENTHOUSE 5,Piso: 9,2,142.00 m2,"$ 391,000"
4374,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3030-look-feel-etapa-2-santiago-de-surco-lima-lima-grupo-t&c,LOOK&FEEL - Etapa 2,-12.1050154,-76.96628640000002,Calle Aldebaran 178,Santiago De Surco,En planos,"31 de Marzo, 2026",Financiamiento Propio,"['Boulevard peatonal', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,Tipo 9B,Piso: 1,1,92.84 m2,"S/ 586,036"
2664,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2698-hara-etapa-5-la-victoria-lima-lima-grupo-lar,Hara (Etapa 5),-12.0811666,-77.01201929999999,"Calle Fermin tanguis 160, La victoria",La Victoria,En construcción,"30 de Septiembre, 2025",Banco BANBIF,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de cine', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X01-C,Pisos: Entre 4 al 18,3,69.00 m2,"S/ 489,020"
1959,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3390-residencial-seiss-comas-lima-lima-lider,RESIDENCIAL SEISS,-11.933657810275037,-77.06357006354521,Calle 18,Comas,En planos,"31 de Octubre, 2026",BBVA,"['Areas verdes', 'Boulevard peatonal', 'Cuarto servicio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,T03,Pisos: Entre 2 al 17,2,57.42 m2,"S/ 258,700"
4389,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3208-girasol-jesus-maria-lima-lima-abril-grupo-inmobiliario,Girasol,-12.0757356,-77.0507258,"Av. Mello Franco 341, Jesús María 15072",Jesus Maria,En planos,"31 de Julio, 2026",Banco Scotiabank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,GIR X12,Pisos: Entre 4 al 17,1,39.36 m2,"S/ 257,263"
5606,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,Residencial Green Life,-12.176865728505682,-77.0041376935666,Los Gorriones 490,Chorrillos,En planos,"09 de Abril, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,707,Piso: 7,3,60.50 m2,"S/ 336,683"
4084,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",duplex,TIPO A6,Piso: 13,1,86.66 m2,"S/ 519,820"
943,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2973-ecovento-san-miguel-lima-lima-ecohabitat-desarrollo-inmobiliario,ECOVENTO,-12.091312846459422,-77.08235788596275,Av. Alfonso Ugarte 119 - 125,San Miguel,En construcción,"30 de Noviembre, 2024",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Terraza']",flat,TIPO P5,Piso: 1,2,84.25 m2,"S/ 470,000"
5014,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3180-mum-363-magdalena-del-mar-lima-lima-tale-inmobiliaria,MUM 363,-12.0949881,-77.0552728,Av. Javier Prado Oeste 2291,Magdalena Del Mar,En planos,"31 de Diciembre, 2026",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,X1707,Piso: 17,2,63.26 m2,"S/ 593,000"
4175,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2306-villa-convivium-2-magdalena-del-mar-lima-lima-grupo-caral,Villa Convivium 2,-12.0952671,-77.0723793,Jirón Salaverry 245 cruce con jirón Tacna,Magdalena Del Mar,En construcción,"30 de Abril, 2025",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,1D -13,Pisos: 11 y 12,1,41.71 m2,"S/ 301,180"
5226,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3211-las-praderas-chorrillos-lima-lima-tale-inmobiliaria,Las Praderas,-12.1768317,-76.99919310000001,"Av. Los Faisanes 485, Chorrillos 15054",Chorrillos,En planos,"31 de Diciembre, 2026",Otros,"['Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X16,Pisos: Entre 4 al 17,2,53.34 m2,"S/ 266,000"
3264,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2344-chiclayo-346-miraflores-lima-lima-jopesa,CHICLAYO 346,-12.114585710544944,-77.03189494448505,Calle chiclayo 340-346,Miraflores,En construcción,"31 de Octubre, 2024",Banco BANBIF,"['Lobby', 'Zona de Parrillas', 'Otros']",duplex,X03D,Piso: 9,3,227.29 m2,"S/ 1,669,296"
2303,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3260-parque-el-rosal-santiago-de-surco-lima-lima-ee-inmobiliaria,Parque El Rosal,-12.13059282199658,-77.01323722680347,Jr. Juan Santos Atahualpa 150,Santiago De Surco,En planos,"31 de Julio, 2025",Banco BCP,['Lobby'],flat,TIPO 4,"Pisos: 2, 4, 5",2,64.00 m2,"$ 128,000"
3758,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario,Albamar | O2,-12.1112683,-77.0506109,Av. Del Ejercito 1179,Miraflores,En planos,"31 de Diciembre, 2025",Otros,"['Boulevard peatonal', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 7B,Piso: 2,2,67.34 m2,"S/ 542,000"
1818,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria,Checor | Las Magnolias,-12.0790747,-77.0341997,Av. Petit Thouars 1460,Cercado de lima,Entrega inmediata,"31 de Marzo, 2024",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,1704,Piso: 17,2,96.01 m2,"S/ 628,390"
2141,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3241-residencial-sukha-surquillo-lima-lima-vienna-grupo-inmobiliario,Residencial Sukha,-12.12326071948405,-77.0046061365875,Av. Tomás Marsano 2293,Surquillo,En planos,"30 de Abril, 2026",Banco Interbank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,3B,Pisos: Entre 11 al 21,1,40.63 m2,"S/ 310,900"
2471,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria,Park Prado,-12.090106399953376,-77.02012972487617,Av Javier Prado Este 1035,La Victoria,En construcción,"31 de Julio, 2026",BBVA,"['Gimnasio', 'Karaoke', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sauna', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X11,Pisos: Entre 3 al 33,3,68.13 m2,"S/ 451,651"
5714,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2241-morar-surquillo-lima-lima-ter-inmobiliaria,Morar,-12.123096,-77.0047778,Av. Tomas Marsano 2273,Surquillo,En construcción,"30 de Junio, 2024","Banco BCP, Otros","['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,1A,Pisos: 17 y 19,1,66.50 m2,"S/ 474,283"
955,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2340-tempo-2-la-victoria-lima-lima-urbana-per%C3%BA,TEMPO 2,-12.0834991,-77.0257982,Av. Paseo de la República 2099 – Santa Catalina,La Victoria,En construcción,"30 de Octubre, 2024",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO X09-A,"Pisos: 2, 12, 16, 18, 20",1,44.60 m2,"S/ 333,364"
87,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2924-ble-santiago-de-surco-lima-lima-ee-inmobiliaria,Blé,-12.1246371,-76.9865786,Av. Velasco Astete 1752,Santiago De Surco,En construcción,"31 de Octubre, 2024",Banco Interbank,"['Areas verdes', 'Lobby', 'Terraza']",flat,Tipo 03,Pisos: Entre 2 al 7,3,110.85 m2,"$ 210,000"
1140,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2487-libertad-san-miguel-lima-lima-capac-asociados,Libertad,-12.0793846,-77.1040247,Av Libertad 2401,San Miguel,En planos,"30 de Noviembre, 2025",Banco Pichincha,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,BX03,Pisos: Entre 2 al 13,3,66.00 m2,"S/ 330,000"
